feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,target
power,2003-01-20,2005-07-12,31.34957369959764,traveler,21,272,apparel,-12136,29.462932979383282,2007-08-24,60.86186569499721,1
generation,1987-08-17,2007-02-17,2.6934054110805636,guide,2,-97,design,-21939,2.652838035395624,1992-01-03,10.917270441134194,0
consumption,2002-04-23,2015-01-17,26.472358038702946,experience,4,286,fashion,-13904,6.932833931966921,2014-09-02,67.24507333140724,1
electricity,2000-09-25,2013-08-14,10.394151660072156,ticket,5,482,design,-36118,35.955495888902995,1989-05-06,58.45556777143993,1
grid,1997-01-15,2023-07-28,19.104691976345798,adventure,27,281,brand,25890,18.249414050516986,2013-09-10,65.06562900557194,1
fuel,2007-03-20,2017-12-11,10.421936347849778,trip,26,159,designer,33385,46.66181436307278,1991-12-20,41.65628983007543,1
generation,1982-03-25,2000-10-07,2.28704812336457,adventure,20,262,design,-24311,25.131861189960865,1993-05-19,54.3629921649189,1
coal,1992-12-23,1996-07-06,38.808473594310286,adventure,9,164,design,-17841,35.24041833476249,1993-12-23,66.9087704951111,1
production,1985-08-01,2007-04-24,18.43004268292977,package,5,-45,designer,-18228,38.161711115229394,2002-07-17,60.2758419743759,1
power,1989-10-10,1985-06-06,5.733240343105249,industry,22,341,apparel,46737,48.87196140460833,1986-03-28,61.117563180332525,1
production,2020-12-12,2003-06-20,48.39687169949203,travel,6,277,industry,-40457,25.65521920941191,1981-03-23,33.92139060221782,0
energy,2017-11-24,2008-05-19,38.66631086281509,experience,1,184,industry,-37122,37.93732749481699,2004-01-15,67.76504297433131,1
electricity,2014-07-07,1986-09-14,43.79936001714732,ticket,-1,145,design,-37570,45.98557344577067,1989-07-10,41.016282058172216,0
industry,2014-09-20,2012-08-11,5.267269159965813,traveler,-10,464,show,45299,27.900674241833823,2012-09-25,36.81339749905815,0
energy,1984-07-06,2011-10-07,40.48631657441966,guide,1,317,designer,21094,15.930055734163131,2000-12-18,43.369060481944594,1
generation,1994-01-25,1995-04-25,46.05203182589869,experience,25,-15,show,22981,41.42496171107826,2005-10-24,48.30133385002579,1
consumption,2017-10-05,1989-02-24,19.839258599275446,experience,11,-95,designer,-37735,31.142897654079686,1986-07-28,55.41333600557197,1
wind,1996-03-14,1983-03-08,5.939152629901726,journey,29,-6,fashion,49541,14.544969545701765,1995-05-06,69.0181175075236,1
industry,2001-11-01,2004-06-07,11.18142501078604,industry,0,420,trend,-18268,8.803082445263826,2019-02-14,40.311679484699326,1
wind,1992-11-23,1994-04-27,18.309118920836305,trip,1,24,brand,-36315,17.24578427782045,1988-04-09,69.3249550764888,1
grid,1992-12-26,2005-05-06,38.35871858847841,traveler,-8,312,model,-991,16.63372622373014,2008-12-01,22.592402667503997,0
electricity,1988-12-12,2018-05-05,3.9996075092704406,tourist,26,-81,show,-30641,2.0398240468312685,2016-10-18,50.62358361832803,1
production,2016-12-08,2019-06-19,37.04939342386484,journey,23,-5,runway,-8608,17.305098125246595,2014-06-04,59.81206969149215,1
fuel,1993-11-18,2000-04-18,19.303540552324293,holiday,2,-29,runway,32590,41.57407610316246,2014-10-27,68.23594459152277,1
resource,1986-04-12,2013-04-07,19.99292631356124,explore,5,393,runway,-8777,44.19476752284318,1982-10-28,11.46131485631971,0
power,1985-05-08,2022-11-07,9.707450527191865,explore,29,392,clothing,24896,15.894281857061557,1993-10-13,55.51672022103589,1
industry,2001-04-02,2015-06-13,47.579601648640306,tourist,-1,432,collection,-45411,27.71546187438864,1980-09-26,29.21994667978115,0
coal,2012-01-26,1991-04-09,16.721653394765724,explore,24,278,garment,5521,12.888413579375332,2019-08-26,53.758523119507046,1
power,2009-04-03,1997-12-24,49.839988032336386,traveler,13,133,collection,-39649,9.482792008041374,2006-05-01,68.44094680563826,1
coal,2012-03-28,2016-11-18,10.694916118501563,industry,10,57,collection,-31298,7.233839481390929,2022-07-23,39.16950645466044,0
coal,2020-05-27,2006-10-14,48.59962469750161,package,13,201,runway,28465,5.907584194502155,2002-03-16,61.79835913698936,1
wind,2013-01-23,2021-11-05,34.870650685884414,industry,13,453,garment,-34755,4.0154298426149815,1984-08-07,62.23802144528581,1
facility,2014-10-03,1988-02-20,41.283839842457,traveler,1,93,industry,-46445,9.263848809157212,1992-04-02,19.94410978423898,0
wind,2002-05-11,2017-01-27,34.353945907222155,ticket,2,49,model,34375,1.4814944565813433,1981-07-15,28.47754345933809,0
grid,2005-04-08,2000-02-25,3.949877220447243,booking,11,466,week,-26281,38.94509330465038,2017-12-02,30.302822270494055,0
electricity,1995-10-24,1982-03-11,34.42821811572483,traveler,0,27,collection,-47753,49.875597705525166,1992-12-19,58.81970397265286,1
electricity,2013-10-28,1985-10-02,38.74968369127758,guide,3,223,collection,-21519,35.75894822569592,1997-09-02,64.55183566181259,1
grid,2002-07-05,1988-01-15,39.630852033225416,journey,-1,376,collection,-46531,31.237899251918535,2012-09-17,14.395375209033833,0
gas,1981-11-21,2005-12-16,37.86972088054536,experience,3,257,trend,-46770,1.127716044624559,2008-12-03,57.792524494814614,1
nuclear,2019-01-23,2015-11-01,39.31868196707092,booking,-9,-65,show,-10155,31.07218293517714,1998-03-14,37.40653456414513,0
renewable,2006-06-10,2012-11-16,46.97628911983223,traveler,-3,-16,show,47214,16.525616288481388,1983-04-26,26.474259787132755,0
nuclear,1981-02-06,1992-04-17,33.915184521231566,accommodation,-7,-96,collection,-41445,35.7692327841692,1989-08-12,12.512823158498287,0
fuel,1997-09-20,1987-10-03,31.174613796865756,booking,25,61,runway,-5281,11.102461757845735,2015-11-10,43.32732548660991,1
efficiency,2016-11-05,2020-05-27,42.28568403310112,guide,7,58,runway,33500,28.94044617626621,2011-10-24,53.0825520720787,1
solar,2005-12-01,1988-10-20,45.597066359608874,vacation,12,403,runway,3163,7.738354967224208,1986-10-16,62.42377880400555,1
grid,1998-12-18,2019-05-17,34.96008970524451,vacation,-9,208,week,-5781,49.9751409757468,2022-12-16,29.98147771551064,0
power,2000-06-17,1986-01-08,17.55715092069506,travel,28,285,garment,1252,34.87993525583924,1993-01-11,68.90227685078779,1
grid,2016-06-06,2023-06-10,4.508589417177857,destination,-3,291,industry,-33796,40.88992476832794,2004-09-01,29.817978762444618,0
renewable,1991-03-02,2017-01-07,24.49229706483035,agency,10,-29,industry,49531,12.14126568681272,1981-08-10,49.91988624876052,0
facility,1987-04-09,2000-10-28,21.670851116867777,vacation,25,451,brand,-26170,37.82504314985447,2006-04-20,61.92962131116344,1
gas,1988-02-23,2013-03-09,1.1723380655877564,adventure,16,-45,couture,41359,16.208355091986952,2014-07-24,54.22219189403747,1
energy,1990-01-11,1994-10-09,37.64336595621822,travel,12,248,collection,1435,49.563689645211134,1981-02-16,27.945336735667933,0
fuel,1998-07-04,1994-05-06,27.14199627662937,destination,-7,264,design,6513,18.4984962757687,1987-12-24,32.05271709438992,0
wind,1981-08-10,1983-01-25,4.724512650907869,traveler,15,499,accessory,24180,2.660448452788121,2007-09-18,61.05532971534994,1
efficiency,2007-12-12,2021-07-25,30.130965832063907,guide,-8,104,collection,-34937,33.01861941551258,1990-02-12,24.597531534270068,0
oil,1985-02-21,1983-05-15,7.742899240533974,destination,-10,140,model,46696,49.415844143236015,1987-08-01,47.8505205979715,0
wind,1998-08-25,2015-02-27,8.801652235893584,ticket,-5,81,industry,32209,29.785835578301775,2016-09-22,13.103367995203959,0
facility,1984-04-11,2007-12-03,41.25695603693628,ticket,1,118,garment,-20633,22.629816357571155,2006-10-25,46.591365766506435,1
coal,2015-07-10,2013-08-10,39.018378723803906,trip,4,69,brand,-43433,35.420154570185346,2006-02-15,54.87490314835524,1
renewable,2009-03-07,2016-01-02,48.01114333449989,travel,-9,370,design,24529,33.461392642666716,2000-06-28,10.137154788720101,0
oil,1998-12-03,2015-09-02,22.557909090323275,trip,9,-77,clothing,6367,35.381346154584485,2021-04-06,58.19063373952319,1
wind,2019-04-23,2003-03-26,18.117423532195588,adventure,26,373,trend,-1605,34.10880798777115,2012-01-25,54.1130633873189,1
wind,2017-02-09,2020-05-02,4.441375855556135,guide,-4,-93,show,-17430,30.900310125360054,2002-12-18,48.772950102564074,0
facility,2017-03-22,1982-10-02,31.19170816120742,travel,4,194,design,-26636,35.62162690058294,1981-04-08,64.11976083308274,1
energy,2011-01-04,2002-09-28,1.4565063175298887,tourist,-3,391,design,37774,35.04589262999601,2002-12-21,28.131125022403513,0
grid,1989-07-05,2019-06-14,35.8646551040064,industry,8,319,week,3668,27.568696612282825,1996-02-08,9.665096567279953,0
industry,2008-11-19,2018-03-16,13.693226550036,destination,28,-19,trend,17818,15.655349095224722,2018-08-27,58.6567770073507,1
facility,1991-07-25,1992-02-16,14.476965967764757,vacation,-5,262,runway,-9645,5.697871119052477,1993-08-18,43.4971740549938,0
power,2010-06-19,1987-06-20,35.62893089594138,tourism,-9,58,design,35083,45.64715306429172,2020-08-22,1.5686765660962343,0
energy,2004-04-09,2002-09-05,12.562291026848724,journey,28,444,style,12915,17.78908047103502,2012-08-01,50.73509049630703,1
industry,2005-08-24,2019-03-01,16.224445363072064,industry,-9,298,collection,45615,20.24889402026018,2010-03-01,16.93431403480539,0
coal,1990-05-02,1997-08-07,1.936308102719821,destination,14,-13,design,46763,17.77146336356813,1996-03-09,40.130674727989856,1
efficiency,2014-01-15,2003-07-15,2.322801172431206,booking,9,156,apparel,-25151,45.988479572320216,2003-12-27,48.31929115172283,1
grid,2006-11-18,2004-07-02,28.709814678843497,agency,9,179,show,21592,9.773900754678797,2014-08-02,21.513817763705262,0
oil,1997-12-19,2006-10-03,40.71417356600341,ticket,8,60,accessory,-18848,32.04270268904693,2004-02-20,44.53975686800663,1
generation,2014-01-11,1985-04-12,1.9642890203334558,tourism,28,271,couture,10434,17.738792169227008,2013-01-16,56.54216119475834,1
efficiency,2009-07-18,1991-04-21,4.8324176230208735,tourism,-7,229,design,802,10.929086508475253,2004-08-02,25.04148723901453,0
generation,1990-09-22,2008-09-12,48.406437265357624,traveler,11,-12,accessory,-38592,37.42572685758474,1987-12-08,55.3762122562259,1
wind,2022-09-15,1992-09-24,41.81404249136755,accommodation,3,136,garment,27737,4.401357974947949,2021-07-21,42.386675724507086,1
renewable,2007-09-24,1993-10-08,45.81866001147351,adventure,25,-75,accessory,26251,15.762817487437607,1997-11-26,48.933129865286986,1
fuel,2008-07-18,1988-11-09,32.91038090155325,trip,0,88,trend,15121,6.8394033514029715,2007-01-04,56.79955225267667,1
efficiency,2002-03-12,1993-06-13,24.090508738400203,ticket,7,96,industry,28929,19.161676997633506,2002-05-01,14.271070073262527,0
solar,2003-06-20,2000-07-27,20.140625045170438,experience,11,-49,garment,35928,29.758100746926942,1980-09-04,65.58821629657606,1
renewable,1988-11-28,2013-08-16,43.33789685088418,industry,-6,98,industry,-8860,10.81720395811,2009-05-22,28.238748091688823,0
oil,1986-09-23,2012-07-22,13.183320117014198,destination,-9,144,model,-16700,23.62543840502313,2011-08-15,4.093842300232368,0
generation,2005-07-19,1995-01-07,13.716739738018402,trip,-5,-42,industry,33836,40.998147307529095,2007-08-06,4.695838687694593,0
coal,2019-11-12,2021-03-14,7.092928614676602,trip,8,-74,collection,9080,19.78431895689582,1996-09-23,21.298333257075775,0
generation,2021-04-07,1987-03-05,33.77468879775088,vacation,19,-49,designer,-6686,48.016937486747054,2002-08-20,64.67653483233715,1
consumption,2005-05-20,2004-01-10,36.61075488676452,adventure,10,344,collection,36684,40.39753023237528,1989-03-21,17.148395929312226,0
fuel,1983-01-13,2020-04-17,35.80538384410048,tourism,16,329,designer,-46689,43.54332720965731,1986-12-10,69.0207990097995,1
facility,1980-08-14,1984-04-21,14.780354665177219,guide,6,-25,couture,7874,47.683929144052115,2006-08-11,68.7519434333071,1
gas,2019-10-07,2012-10-23,10.427766763556292,package,2,182,trend,34141,8.95918420662444,2011-08-25,57.29904144276514,1
energy,1993-08-13,2003-11-22,11.980065462608184,traveler,0,488,designer,-7548,11.15228349976785,1989-08-10,40.49332648613414,1
production,1985-10-03,2008-10-04,49.48015447035898,adventure,11,264,week,27578,40.035468744962024,2020-09-23,3.2409221765493097,0
industry,1989-07-28,2018-01-19,2.9311623320882076,holiday,-7,44,collection,-45540,48.36277133211617,2001-08-06,26.55678791842554,0
power,1989-04-25,2010-06-17,42.95454797387715,explore,23,-71,accessory,-6256,10.273563637070245,1990-02-13,49.114085936274705,1
gas,1986-06-11,2016-05-06,28.002091424292008,agency,3,51,show,-47749,39.33837538712702,2017-06-27,43.92057105003235,0
wind,1988-10-21,1997-11-18,34.221796516560545,booking,27,204,fashion,-42058,44.415397838147285,1984-04-09,50.302435522104545,1
oil,1999-03-10,2021-09-11,38.32023084080518,traveler,-2,192,runway,-48330,36.35780386575219,2010-08-05,2.2128176621857323,0
renewable,2011-08-18,1994-07-09,24.18350418452232,industry,-5,399,model,9995,17.069296602940273,2013-07-02,9.158826724252254,0
fuel,2005-08-03,2005-11-05,31.92638216832259,guide,-9,-77,week,31045,35.60447920883441,1991-09-11,44.64690874072144,0
grid,1996-12-13,2021-09-10,36.654272740309764,adventure,7,227,week,2417,27.75882288459148,2008-08-15,32.28189792024705,0
renewable,2019-11-26,2009-11-21,27.296531195325006,holiday,25,434,fashion,42929,6.464795052114131,2017-05-27,47.39971913906481,1
resource,1983-08-19,1991-07-11,12.377084400847655,explore,9,369,fashion,48307,19.743328056510844,2002-12-16,60.531135051628105,1
wind,1995-10-17,2007-04-15,7.708133013150525,journey,-4,473,design,22019,7.574315300408048,2008-12-11,45.3315559779393,0
production,2009-06-19,1996-07-07,43.68095148397853,explore,8,352,collection,8623,1.7902852100844757,2008-08-25,37.17594974506768,0
fuel,2014-07-22,1989-03-11,19.152661803357702,traveler,5,159,runway,33405,20.804962312479766,2006-02-11,34.896553173863985,0
industry,1995-09-21,1996-07-21,33.54199823657493,ticket,-2,276,collection,24690,24.86432804647099,2003-01-18,33.28943296879591,0
oil,2018-05-17,1983-10-10,29.331837326560226,tourism,18,118,clothing,-27594,10.720495300103678,1980-03-18,64.99586844044416,1
renewable,2013-08-20,2011-10-07,24.37561504205229,experience,0,231,collection,49286,39.572646563437985,1991-12-17,35.85006681481731,0
facility,2020-06-27,2007-11-23,9.758439851584914,accommodation,-9,275,model,-26576,47.94282578739321,2018-06-28,37.769452970288484,0
fuel,2002-08-09,2014-03-16,20.284358438474705,destination,8,402,week,-23128,5.471625103026234,1992-11-07,38.04937074017212,0
power,1983-06-14,1989-06-10,47.29185883791881,agency,4,18,runway,-9923,9.695457824597263,2003-08-20,10.407191851107076,0
electricity,2017-03-03,1999-07-10,45.24144745543479,explore,19,131,clothing,-11157,35.68182611666074,1982-07-06,48.73135743766546,1
facility,1997-06-03,2008-11-13,4.117042712702913,explore,19,188,accessory,32505,36.30215767631593,2000-01-17,64.75280548334618,1
solar,2013-03-28,1994-11-12,47.717396273699876,adventure,12,246,industry,-33785,19.368963773569483,1988-03-24,1.5528315022063126,0
resource,1990-07-23,1992-01-12,41.64613934989541,tourist,1,44,runway,-46931,25.691617480757742,1987-09-02,17.89116340699144,0
oil,1999-01-04,2013-05-09,15.68233317450998,holiday,6,79,runway,-41569,47.970236338677445,1995-06-21,61.782248802346444,1
renewable,2017-02-14,1985-06-09,8.417905461352168,adventure,9,368,runway,13939,39.128448767152655,2008-01-23,43.19507660412678,0
solar,2006-12-04,2008-07-24,41.386070327359214,adventure,1,104,runway,-29157,42.984534979395725,2014-12-05,46.38039393356582,1
consumption,2001-10-05,2006-05-19,16.34874981530737,guide,9,412,collection,-29855,47.518650932939714,1990-01-16,40.61802493134474,0
consumption,2007-03-10,2019-05-23,8.447316874915856,booking,27,-93,design,-31478,47.569912048077825,1994-08-12,58.46058087473058,1
solar,2021-07-26,2017-08-12,29.162247716725954,experience,7,-14,industry,21859,43.392215071975805,1994-11-03,43.379864641480346,1
solar,1983-09-07,2009-01-10,38.016859006590316,tourist,3,206,design,16164,1.9742400250943954,1992-02-08,40.828950271976595,0
gas,1989-08-03,1997-10-03,36.122179672937705,travel,2,294,style,26386,22.40135477338209,2016-11-25,50.196921780431346,1
fuel,2004-11-08,1996-02-04,12.279110408501312,ticket,-9,370,show,43999,16.67985810315833,2006-04-08,29.178777830369445,0
solar,1997-09-25,2001-05-18,15.060178817544445,agency,-8,283,week,12403,11.596529767002371,1999-12-22,7.328105702074887,0
efficiency,1988-05-18,1991-04-22,4.541341626634498,industry,18,213,garment,32039,30.865148885858165,2002-06-12,66.69025826374624,1
power,2010-03-19,2001-08-25,48.33944118628751,experience,-2,7,runway,48070,44.38603101386816,1993-08-04,6.19973798986821,0
grid,2019-04-16,1980-01-27,31.463908278209363,guide,6,480,week,-35895,45.388326320946604,2013-09-04,25.447630684574282,0
fuel,1990-12-15,1998-02-21,5.330717113683489,industry,4,389,collection,-34244,4.505635750682045,2007-06-16,68.46085857579729,1
solar,2007-06-22,2003-02-26,20.71722026382099,accommodation,13,324,show,-27752,27.98893045699061,2002-07-19,40.86474936258778,1
solar,2016-09-15,1980-09-10,2.3431371481164476,package,4,309,apparel,-3442,6.02023382178215,2021-07-03,67.51747604777553,1
generation,2016-10-04,1993-08-28,6.467482534487204,tourist,22,131,clothing,-23250,21.224421007724843,1992-09-04,53.091376545459575,1
facility,2016-12-12,2011-07-16,25.897963444088493,agency,-7,356,runway,-9505,5.258469766131742,1996-09-03,26.46754142489272,0
consumption,1981-05-06,1994-11-18,18.00376302582009,ticket,10,-45,collection,-48461,26.118331617890732,2010-09-01,27.92605715616557,0
facility,2018-02-10,1987-09-26,17.519665077493393,tourist,12,258,trend,16023,21.266921302306816,1992-04-14,58.224574385675886,1
renewable,2013-11-07,2012-01-01,37.58055289218889,package,2,59,model,10376,11.102605444938774,1988-06-14,44.575751645779235,0
energy,1988-02-08,2002-05-19,18.187071019071272,trip,-10,-64,collection,-7714,37.96374718040933,1980-01-01,18.60628857764232,0
production,2018-05-05,2002-08-24,7.772806952358922,guide,-7,388,show,-34424,48.525569281528114,1989-01-17,17.754957977604974,0
wind,1992-06-20,2001-06-02,6.762108627286554,travel,4,117,collection,38455,12.803802698776366,2018-01-15,44.06109457900832,0
consumption,1980-12-27,1982-07-07,24.142569943840098,ticket,20,141,design,44431,12.696205507729992,1994-11-24,55.168737982575955,1
nuclear,1990-03-28,2002-02-04,46.18111563851198,adventure,28,84,style,21530,21.429695622753005,2017-03-14,41.74020572524343,1
oil,2017-11-27,1996-03-11,18.9495989900965,explore,19,183,designer,-45559,28.87912277628271,2004-08-17,42.5962698145602,1
consumption,1988-01-19,2008-07-24,40.680072314411994,accommodation,21,47,collection,16259,26.168440601056226,1999-04-27,65.69131500799762,1
production,2015-02-20,1999-06-26,12.22695520794206,tourist,24,468,couture,44719,28.542058281809847,2022-09-07,42.23261810086672,1
facility,1991-05-13,2010-09-16,16.265039645592623,accommodation,10,471,clothing,-25521,45.999504758913474,2003-05-26,53.65949654788989,1
renewable,2017-06-07,2008-10-15,10.594834641201066,destination,2,329,garment,-31224,49.40711141714144,2018-03-05,44.55159735743164,1
energy,2008-08-02,1993-02-21,46.07259048343359,vacation,-8,322,week,18410,40.92034416125887,2002-10-16,27.231331183350985,0
coal,2007-10-05,1985-03-16,46.3765361553291,explore,9,463,model,-20177,29.001469015237532,2007-07-17,36.091108661959595,0
coal,2009-04-11,2020-08-22,1.0642171030123113,tourism,2,4,garment,-8932,38.55284985461324,1994-02-10,62.0267714449739,1
nuclear,1992-10-05,2023-11-17,10.216397996440419,package,11,197,week,25595,16.06700261222235,2001-11-10,49.05590057408346,0
production,2021-10-07,1986-11-15,25.664195316203376,accommodation,-2,-100,week,-5804,24.823156402585354,2022-07-27,6.681749522986006,0
resource,1999-04-17,2015-01-04,29.894473722317954,experience,-8,-71,show,38453,1.2207074838673755,1996-05-01,29.715523650432647,0
facility,1994-08-09,1992-01-05,1.8319531625614187,traveler,11,464,design,-42829,47.57356507458268,2007-10-11,19.2458980732946,0
industry,2016-07-19,1987-04-04,35.19833726874869,trip,19,417,brand,40676,49.18063489945476,2010-01-23,60.773369725002055,1
gas,2001-06-11,2016-01-22,24.23460736328912,destination,7,214,industry,49330,14.39238230796709,1981-01-01,44.61641122296317,0
industry,1990-01-13,2011-11-06,43.70923891261505,guide,7,495,model,15296,25.536055828278847,2012-02-02,33.67037758675303,0
coal,1998-04-15,2017-06-09,42.66017498494218,package,5,-44,week,29269,26.34522704623122,1989-01-02,29.778820728252484,0
renewable,2016-02-20,2002-07-12,11.346118566634377,holiday,15,265,show,-7761,24.203699354217466,1985-05-22,61.051792322897164,1
generation,1999-12-25,2002-12-04,38.626288605474755,travel,8,291,couture,-38473,29.858459540318094,2001-06-23,62.92943871747377,1
renewable,2006-11-11,2017-10-06,15.6007905876339,guide,20,103,designer,-23981,39.78079601883013,2019-11-27,65.36966979415476,1
resource,1985-04-12,1995-07-21,26.398373314498812,traveler,5,-28,model,-48598,28.04058838754684,2003-08-08,36.59278573199073,0
gas,1988-07-20,2000-08-05,33.74450594240586,trip,18,31,designer,-27180,35.737756226182476,1992-08-03,63.705104876707736,1
power,2016-09-20,2005-04-11,49.7024787285224,experience,12,81,industry,34028,48.39106625251587,1993-12-01,42.38657793730343,1
electricity,2005-08-12,2008-01-26,31.639762666465426,vacation,7,-76,collection,-13462,46.64987330179191,1988-01-06,41.07137654333078,0
consumption,2009-08-03,2002-12-02,20.093379575725557,industry,14,20,trend,2614,46.52915430971274,1984-08-04,63.21543988168631,1
facility,2022-03-15,1988-09-02,3.3189935613547497,trip,4,-24,model,34396,45.68303362760518,2019-03-21,38.42186677752914,0
resource,1988-01-01,1988-01-02,13.76027891113078,traveler,12,159,collection,-34437,34.16875677751592,1995-01-20,2.4065515945959715,0
electricity,1989-11-21,1995-07-15,38.05877420472003,tourism,0,432,fashion,-42646,27.99823119572978,2021-08-11,49.431361540406144,1
nuclear,2014-12-25,1981-09-14,21.818070313890566,agency,18,479,show,-22445,41.609996037883136,1983-06-01,40.61444541024598,1
solar,1992-09-03,2014-09-19,24.95239570834138,travel,2,432,design,6552,47.81447491265924,2014-08-13,26.000559554565292,0
resource,1994-03-11,2011-10-12,44.96396768899625,guide,18,186,collection,19974,29.702365411104253,2000-09-11,58.91243404853486,1
power,2000-01-22,1992-05-04,10.049135306519261,holiday,27,183,fashion,28181,4.925628122119797,1994-10-12,54.16057612969862,1
efficiency,2022-02-22,2007-04-28,7.972766476882263,guide,8,300,collection,-21103,37.204645002633264,2020-06-06,40.770659956062396,0
power,2011-04-25,1994-03-26,35.03613552013918,tourism,-3,71,industry,30993,32.704131120415326,2008-01-14,9.916488813937368,0
wind,2009-07-08,2001-01-26,9.869981559784401,tourist,5,240,industry,-9350,49.300448942322795,1990-07-13,10.593297357736233,0
consumption,2008-06-05,2013-06-19,3.5858517247867896,booking,27,97,trend,32308,45.29750803994923,2019-11-11,60.35301832712648,1
coal,1989-07-18,1996-11-02,18.339802405138006,trip,23,234,design,35239,43.98103900158143,2015-05-11,57.399262780012734,1
wind,2005-11-21,2000-01-21,2.411973253292795,industry,-7,369,collection,-1191,4.691924873351418,2008-12-17,29.127595148982632,0
consumption,2012-05-24,1983-03-01,21.25119420263486,explore,15,91,brand,-36254,19.437804958600434,2021-04-27,51.641868900934284,1
resource,1995-09-23,1986-02-07,31.865884574323672,industry,-3,-9,collection,48572,29.224384898858847,2017-01-23,25.189616344981193,0
oil,1993-02-25,2008-08-14,32.75678840910511,agency,13,183,accessory,-5754,35.167377211898575,2022-02-16,49.14484613056361,1
power,1985-06-03,2005-09-24,23.847371582278992,adventure,7,-24,model,-41677,11.589771423403157,2005-10-22,46.57418634348019,0
production,2015-09-05,1984-07-27,29.38908918067135,agency,9,263,collection,45432,35.066464107492116,1989-06-21,33.07634554404538,0
facility,2017-11-15,2003-06-12,28.519998011586573,package,9,-44,collection,-49051,16.92426981021058,2017-02-18,67.74153372502552,1
solar,1985-08-05,1988-05-25,1.0311825533771086,trip,20,-67,brand,37633,29.637965756145476,2016-09-10,40.533143386498764,1
energy,1980-11-21,1993-03-22,17.804650426740892,industry,12,171,trend,7557,35.71524150140661,2009-05-20,60.481637733106325,1
gas,1982-07-12,2018-12-27,36.46533940189226,booking,5,-48,accessory,42530,15.095446411851334,2022-02-18,48.52009544413335,1
